NUTS_ID,Region_LTN,Spss code,PRG,RES,INT,KNW,GDP
DEA4,Detmold ,4413,-0.114202215,0.041782453,-0.169289179,0.113040237,55196.49
DEA5,Arnsberg ,4412,-0.115900415,0.2005466,-0.250413739,0.007020742,92588.42
DEB1,Koblenz ,4431,-0.047849672,-0.042642298,-0.101002812,0.015969839,36303.13
DEB2,Trier ,4435,-0.225770959,0.187793486,0.048464269,0.36867704,11470.34
DEB3,Rheinhessen-Pfalz ,4434,-0.05374866,0.026306306,0.057497123,0.15453289,53030.28
Dec-00,Saarland,4440,-0.267381251,0.311760653,-0.168185235,-0.091034615,28725.82
DED2,Dresden ,14522,-0.073951473,0.258189222,-0.258333851,-0.08916756,34401.49
DED4,Chemnitz ,14521,0.044658053,0.208928084,-0.16727025,0.011052345,29813
DED5,Leipzig ,14523,0.164078438,0.350747352,0.200489917,0.466402938,20438.93
DEE0,Sachsen-Anhalt,Missing,-0.004556539,0.018178631,-0.146878529,0.130959776,45864.45
DEF0,Schleswig-Holstein,4110,-0.088626863,0.141469489,0.033659348,0.194792977,68041.31
DEG0,Thüringen,14510,-0.070305734,0.221372154,-0.104368231,0.051459305,43146.91
DK01,Hovedstaden,7100,0.295234582,0.505661023,-0.024367477,0.092866226,79913.72
DK02,Sjælland ,7200,0.185824011,0.35877018,-0.037867357,0.056267599,22577.3
DK03,Syddanmark,7300,0.217854324,0.337837752,-0.022323954,0.062482204,40170.85
DK04,Midtjylland ,7400,0.323267682,0.383898351,0.105343551,0.123293367,42750.77
DK05,Nordjylland ,7500,0.24653435,0.290610546,0.098883477,0.099892196,18973.06
EE00,Eesti,18,0.228943532,0.038125927,0.024039742,0.033615869,11262.3
EL51,"Anatoliki Makedonia, Thraki",11120,-0.281180413,-0.207597435,0.085945511,0.042160296,7867.8
EL52,Kentriki Makedonia,11210,0.115424814,-0.602770106,0.37165834,-0.221143012,26890.05
EL53,Dytiki Makedonia,11214,-0.068472291,-0.408111841,0.771169641,-0.437262135,4760.04
EL61,Thessalia,11230,-0.10363308,-0.473515323,-0.041732337,-0.450946311,10229.76
EL54,Ipeiros,11220,0.02515465,-0.387130116,-0.021377736,-0.531259296,4513.69
EL62,Ionian Islands,11430,-0.094679234,-0.632796405,-0.489950787,-0.673861061,3789.2
EL63,Dytiki Ellada,11315,-0.017632813,-0.315993772,0.193574194,0.056690574,9724.62
EL64,Sterea Ellada,11314,-0.186590371,-0.453101442,0.144997906,-0.600243827,9738.16
EL65,Peloponnisos,11320,-0.23161848,-0.434540342,-0.076697943,-0.488828254,8363.84
EL30,Attiki,11311,-0.010327606,-0.534339082,0.103260188,-0.313654134,94038.98
EL41,Voreio Aigaio ,Missing,0.132285612,-0.419191601,0.132033505,-0.464804459,2797.22
EL42,Notio Aigaio ,Missing,0.132285612,-0.419191601,0.132033505,-0.464804459,6661.94
EL43,Kriti,11420,0.132285612,-0.419191601,0.132033505,-0.464804459,9867.01
ES11,Galicia,12110,-0.074272016,-0.238837482,-0.163803842,-0.208459442,48125.47
ES12,Principado de Asturias,12120,-0.080523426,-0.394485938,0.030146799,-0.118986136,19955.51
ES13,Cantabria,12130,-0.14101557,-0.009772577,-0.228303839,-0.243339673,11169.62
ES21,País Vasco,12210,-0.035826602,-0.244460246,-0.168284541,-0.216217159,56211.63
ES22,Comunidad Foral de Navarra,12220,-0.096383341,-0.204754676,0.092372087,-0.00426882,15635.13
ES23,La Rioja,12230,0.215645872,-0.374590996,0.066000915,-0.008259752,6855.26
ES24,Aragón,12240,-0.126736381,-0.18670655,0.019655361,-0.117105566,28907.05
ES30,Comunidad de Madrid,12310,-0.001049488,-0.262275538,0.091007619,-0.069580927,166138.73
ES41,Castilla y León,12410,-0.21309047,-0.086544492,-0.154971332,-0.194358573,48866.69
ES42,Castilla-La Mancha,12420,-0.09189309,-0.267181992,-0.112258381,-0.243573765,32485.43
ES43,Extremadura,12430,-0.248407447,-0.217455307,-0.130250199,-0.424990028,15215.49
ES51,Cataluña,12510,-0.14217334,-0.241798325,-0.096505295,-0.159758765,175031.7
ES52,Comunidad Valenciana,12520,-0.075296319,-0.324850984,-0.186947287,-0.160940784,90535.45
ES53,Illes Balears,12530,0.034609969,-0.302599025,-0.132553178,-0.110062248,22602.71
ES61,Andalucía,12610,-0.182918271,-0.178214615,-0.163631227,-0.258195908,128986.56
ES62,Región de Murcia,12620,0.014471384,-0.507620502,-0.099102186,-0.181957214,23867.31
ES63,Ciudad de Ceuta,Missing,0.014471384,-0.507620502,-0.099102186,-0.181957214,1329.85
ES64,Ciudad de Melilla,Missing,0.014471384,-0.507620502,-0.099102186,-0.181957214,1209.04
ES70,Canarias,12710,0.010747841,-0.381238437,0.088247128,-0.160992672,36767.56
FI19,Länsi-Suomi,15190,-0.029389585,0.341068456,-0.039794865,0.384257704,37177.1
FI1B,Helsinki-Uusimaa,Missing,0.008579478,0.259805748,0.074609644,0.531215949,60177.73
FI1C,Etelä-Suomi,15180,0.008579478,0.259805748,0.074609644,0.531215949,32959.89
FI1D,Pohjois- ja Itä-Suomi,15110,-0.036298818,0.299488104,-0.055155032,0.364296673,32965.09
FI20,Åland,15110,-0.036298818,0.299488104,-0.055155032,0.364296673,1047.83
